booking_ref,employee_id,trip_date,departure_iata,arrival_iata,distance_km,travel_class,expense_category,vendor,unit
TRV-20240101,EMP-045,2024-01-10,DEL,BOM,1400,Economy,Air Travel,IndiGo,km
TRV-20240102,EMP-045,2024-01-12,BOM,DEL,1400,Economy,Air Travel,IndiGo,km
TRV-20240103,EMP-112,2024-01-15,BLR,HYD,570,Business,Air Travel,Vistara,km
TRV-20240104,EMP-112,2024-01-18,,MAA,350,Economy,Air Travel,Air India,km
TRV-20240105,EMP-078,2024-01-22,DEL,,1200,Economy,Air Travel,SpiceJet,km
TRV-20240106,EMP-045,2024-02-05,DEL,LHR,6700,Business,Air Travel,British Airways,km
TRV-20240107,EMP-200,2024-02-10,BOM,SFO,25000,Economy,Air Travel,United Airlines,km
TRV-20240108,EMP-078,2024-02-15,MAA,CCU,-450,Economy,Air Travel,IndiGo,km
TRV-20240109,EMP-112,invalid-date,DEL,BLR,1750,Economy,Air Travel,Vistara,km
TRV-20240110,EMP-045,2024-03-01,BLR,GOI,550,Economy,Air Travel,IndiGo,km
